Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,ChangePct,ChangeAmt,Turnover,Code
2021-06-01,000625,11.64,11.85,12.34,11.53,2149840,5123708416.0,6.85,0.17,0.02,5.15,000625
2021-06-02,000625,11.69,11.39,11.93,11.29,1635464,3819864560.0,5.4,-3.88,-0.46,3.91,000625
2021-06-03,000625,11.47,11.64,11.91,11.11,1587474,3701043552.0,7.02,2.19,0.25,3.8,000625
2021-06-04,000625,11.53,11.73,12.1,11.35,1579831,3741705616.0,6.44,0.77,0.09,3.78,000625
2021-06-07,000625,11.73,11.31,11.83,11.08,1612557,3691174000.0,6.39,-3.58,-0.42,3.86,000625
2021-06-08,000625,11.24,11.15,11.66,10.9,1330301,3022493024.0,6.72,-1.41,-0.16,3.18,000625
2021-06-09,000625,11.14,11.16,11.32,10.92,904285,2041048272.0,3.59,0.09,0.01,2.16,000625
2021-06-10,000625,10.99,11.58,11.78,10.93,1735938,4017384304.0,7.62,3.76,0.42,4.15,000625
2021-06-11,000625,11.53,11.58,11.96,10.99,2018951,4693894144.0,8.38,0.0,0.0,4.83,000625
2021-06-15,000625,11.62,11.73,12.59,11.59,2230874,5394260736.0,8.64,1.3,0.15,5.34,000625
2021-06-16,000625,11.43,10.44,11.49,10.44,2225975,4907272192.0,8.95,-11.0,-1.29,5.33,000625
2021-06-17,000625,10.05,10.62,10.8,10.05,1209038,2596129776.0,7.18,1.72,0.18,2.89,000625
2021-06-18,000625,10.7,11.8,11.81,10.58,2328411,5341989120.0,11.58,11.11,1.18,5.57,000625
2021-06-21,000625,11.8,11.76,12.12,11.6,1856227,4411750144.0,4.41,-0.34,-0.04,4.44,000625
2021-06-22,000625,11.86,12.03,12.43,11.66,1939866,4712258816.0,6.55,2.3,0.27,4.64,000625
2021-06-23,000625,12.6,13.36,13.36,12.3,2783599,7213695744.0,8.81,11.06,1.33,6.66,000625
2021-06-24,000625,13.61,13.19,13.84,13.15,2297028,6155603200.0,5.16,-1.27,-0.17,5.5,000625
2021-06-25,000625,13.21,13.31,13.72,12.88,1593753,4197379600.0,6.37,0.91,0.12,3.81,000625
2021-06-28,000625,13.32,13.45,13.7,12.95,1664869,4394031360.0,5.63,1.05,0.14,3.98,000625
2021-06-29,000625,13.71,13.01,13.85,12.53,1814736,4707941120.0,9.81,-3.27,-0.44,4.34,000625
2021-06-30,000625,12.97,13.22,13.31,12.66,1160766,2995597456.0,5.0,1.61,0.21,2.78,000625
2021-07-01,000625,13.56,13.42,14.33,13.04,2964701,5663292160.0,9.76,1.51,0.2,5.07,000625
2021-07-02,000625,13.01,12.85,13.22,12.65,1982133,3600363760.0,4.25,-4.25,-0.57,3.39,000625
2021-07-05,000625,12.85,13.92,14.09,12.72,2733800,5149666816.0,10.66,8.33,1.07,4.67,000625
2021-07-06,000625,13.99,14.32,14.62,13.45,3070461,6048367360.0,8.41,2.87,0.4,5.25,000625
2021-07-07,000625,13.94,14.64,14.99,13.58,2665601,5364085504.0,9.85,2.23,0.32,4.56,000625
2021-07-08,000625,14.64,14.59,14.87,14.32,1727858,3508034016.0,3.76,-0.34,-0.05,2.95,000625
2021-07-09,000625,14.33,15.09,15.49,14.14,2334258,4838150400.0,9.25,3.43,0.5,3.99,000625
2021-07-12,000625,15.38,15.19,16.16,15.09,2725968,5887170816.0,7.09,0.66,0.1,4.66,000625
2021-07-13,000625,15.1,14.67,15.19,14.61,1970903,4058801824.0,3.82,-3.42,-0.52,3.37,000625
2021-07-14,000625,14.42,14.08,14.63,13.83,1927354,3821925520.0,5.45,-4.02,-0.59,3.29,000625
2021-07-15,000625,13.75,13.68,13.91,13.1,2067580,3915332480.0,5.75,-2.84,-0.4,3.53,000625
2021-07-16,000625,13.56,13.66,14.12,13.42,1567039,3020616960.0,5.12,-0.15,-0.02,2.68,000625
2021-07-19,000625,13.35,13.23,13.56,13.02,1295884,2413112048.0,3.95,-3.15,-0.43,2.22,000625
2021-07-20,000625,13.05,13.82,13.82,13.03,1468124,2791800000.0,5.97,4.46,0.59,2.51,000625
2021-07-21,000625,13.89,14.28,14.47,13.82,1897905,3785157888.0,4.7,3.33,0.46,3.24,000625
2021-07-22,000625,14.3,13.88,14.63,13.79,2035497,4013644752.0,5.88,-2.8,-0.4,3.48,000625
2021-07-23,000625,13.88,13.93,14.52,13.71,1859727,3680900336.0,5.84,0.36,0.05,3.18,000625
2021-07-26,000625,13.82,13.34,13.85,12.79,1824546,3409007600.0,7.61,-4.24,-0.59,3.12,000625
2021-07-27,000625,13.31,12.72,13.59,12.7,1484484,2742293584.0,6.67,-4.65,-0.62,2.54,000625
2021-07-28,000625,12.33,11.69,12.55,11.44,2074661,3466535200.0,8.73,-8.1,-1.03,3.55,000625
2021-07-29,000625,12.02,12.37,12.59,11.79,1738616,3004490992.0,6.84,5.82,0.68,2.97,000625
2021-07-30,000625,12.38,13.1,13.45,12.11,1937708,3498938144.0,10.83,5.9,0.73,3.31,000625
2021-08-02,000625,13.42,13.55,13.96,13.2,1982133,3769369776.0,5.8,3.44,0.45,3.39,000625
2021-08-03,000625,13.54,12.86,13.54,12.82,1340609,2455821584.0,5.31,-5.09,-0.69,2.29,000625
2021-08-04,000625,12.79,13.66,13.78,12.65,1915996,3616124464.0,8.79,6.22,0.8,3.28,000625
2021-08-05,000625,13.52,13.58,13.79,13.27,1366817,2590815872.0,3.81,-0.59,-0.08,2.34,000625
2021-08-06,000625,13.79,13.86,14.51,13.49,2230177,4379975168.0,7.51,2.06,0.28,3.81,000625
2021-08-09,000625,13.56,13.63,13.68,13.01,1490265,2786900768.0,4.83,-1.66,-0.23,2.55,000625
2021-08-10,000625,13.65,14.25,14.48,13.59,2192638,4329872384.0,6.53,4.55,0.62,3.75,000625
2021-08-11,000625,14.33,14.25,14.49,13.73,1777824,3492467184.0,5.33,0.0,0.0,3.04,000625
2021-08-12,000625,14.12,15.39,15.78,13.99,3502694,7380316928.0,12.56,8.0,1.14,5.99,000625
2021-08-13,000625,15.07,15.07,15.25,14.56,2278084,4721680384.0,4.48,-2.08,-0.32,3.89,000625
2021-08-16,000625,14.79,15.44,15.95,14.73,2271704,4898795776.0,8.1,2.46,0.37,3.88,000625
2021-08-17,000625,15.29,15.34,16.11,15.18,2126318,4639884032.0,6.02,-0.65,-0.1,3.64,000625
2021-08-18,000625,15.35,14.62,15.69,14.25,2346984,4804027648.0,9.39,-4.69,-0.72,4.01,000625
2021-08-19,000625,14.95,16.19,16.19,14.79,3204398,7009590272.0,9.58,10.74,1.57,5.48,000625
2021-08-20,000625,16.18,16.21,16.54,15.68,2644451,5906032640.0,5.31,0.12,0.02,4.52,000625
2021-08-23,000625,16.55,16.33,17.15,15.83,3408307,7720744448.0,8.14,0.74,0.12,5.83,000625
