opendate,trade,changeratio,turnover,netamount,ratioamount
2018-06-08,19.83,0.440087,14.9622,31662756.52,0.958486
2018-06-11,21.81,0.0998487,17.2851,30408810.6,0.72156
2018-06-12,23.99,0.0999542,129.641,316090632.67,0.909162
2018-06-13,25.72,0.0721134,5664.4,-1425048632.27,-0.0901381
2018-06-14,23.29,-0.094479,3111.06,-1030063232.28,-0.123947
2018-06-15,22.58,-0.0304852,1913.16,-386908641.98,-0.0804145
2018-06-19,20.32,-0.100089,1878.25,-1076507068.37,-0.247089
2018-06-20,19.86,-0.0226378,1773.63,5230465.02,0.00134398
2018-06-21,18.17,-0.0850957,1769.85,-239958340.47,-0.0642284
2018-06-22,18.72,0.0302697,1570.59,97896516.14,0.0299516
2018-06-25,18.21,-0.0272436,1032.69,-153630531.36,-0.0723286
2018-06-26,18.53,0.0175728,1017.33,78740657.96,0.0378391
2018-06-27,18.27,-0.0140313,868.056,-152526757.71,-0.0850803
2018-06-28,17.89,-0.0207991,772.877,-117501323.98,-0.0746004
2018-06-29,18.44,0.0307434,1143.23,56152296.07,0.0240759
2018-07-02,17.59,-0.0460954,1089.61,-299807097.13,-0.137635
2018-07-03,17.9,0.0176236,802.785,-9569253.53,-0.00605408
2018-07-04,17.17,-0.0407821,722.112,-177708934.67,-0.126317
2018-07-05,16.96,-0.0122306,815.816,-62558485.76,-0.0401809
2018-07-06,17.23,0.0159198,945.447,-93944869.25,-0.0515068
2018-07-09,17.47,0.0139292,716.386,-1774844.16,-0.00127858
2018-07-10,17.35,-0.00686892,586.971,-105191849.62,-0.0925139
2018-07-11,16.65,-0.0403458,708.791,-71998731.08,-0.0542749
2018-07-12,17.96,0.0786787,1605.49,256855795.92,0.0812949
2018-07-13,17.62,-0.018931,889.541,-87356975.48,-0.0498528
2018-07-16,17.84,0.0124858,814.054,56492090.97,0.0346755
2018-07-17,17.69,-0.00840807,547.253,-60669913.44,-0.0563097
2018-07-18,17.21,-0.027134,555.87,-184337641.32,-0.169691
2018-07-19,16.93,-0.0162696,471.382,-77990415.05,-0.086899
2018-07-20,17.3,0.0218547,637.545,80975106.81,0.0661047
2018-07-23,17.25,-0.00289017,432.677,-84337021.15,-0.101513
2018-07-24,18.06,0.0469565,1118.67,293715887.8,0.132521
2018-07-25,17.71,-0.0193798,769.134,-167857843.84,-0.109696
2018-07-26,17.76,0.00282326,595.226,-2940816.06,-0.00248081
2018-07-27,17.29,-0.026464,487.67,-117938256.95,-0.124076
2018-07-30,17.14,-0.00867554,328.933,-96952231.26,-0.153591
2018-07-31,17.17,0.00175029,260.868,-59223807.32,-0.118436
2018-08-01,16.98,-0.0110658,404.339,-90489022.58,-0.116591
2018-08-02,16.24,-0.0435807,616.435,-70759080.88,-0.0624427
2018-08-03,15.81,-0.0264778,463.534,-90861308.07,-0.109635
2018-08-06,15.14,-0.0423782,439.662,-59839808.64,-0.0789764
2018-08-08,15.01,-0.0347267,416.904,-72597124.07,-0.102353
2018-08-09,15.42,0.0273151,553.029,23730002.57,0.0249678
2018-08-10,15.47,0.00324254,323.083,34075456.94,0.0611697
2018-08-13,15.72,0.0161603,474.041,44557465.83,0.0541623
2018-08-14,15.51,-0.0133588,399.274,-101176683.15,-0.145853
2018-08-15,15.06,-0.0290135,365.051,-136853591.42,-0.2206
2018-08-16,14.89,-0.0112882,309.465,6233955.23,0.0120616
2018-08-17,14.63,-0.0174614,287.244,-85728051.98,-0.179427
2018-08-20,14.92,0.0198223,318.375,-9249387.5,-0.0176256
2018-08-21,15.02,0.00670241,313.627,16903139.2,0.0321364
2018-08-22,14.74,-0.0186418,248.327,-79649951.58,-0.193305
2018-08-23,15.13,0.0264586,432.498,19130677.68,0.0263236
2018-08-24,14.99,-0.00925314,227.654,-57454357.51,-0.150397
2018-08-27,15.31,0.0213476,483.907,-21438286.02,-0.0259602
2018-08-28,15.32,0.000653168,282.28,-34277728.33,-0.0708497
2018-08-29,15.11,-0.0137076,266.552,-22063934.62,-0.0488594
2018-08-30,14.8,-0.0205162,261.756,-40253761.14,-0.0921391
2018-08-31,14.79,-0.000675676,181.772,-22001513.8,-0.0730557
2018-09-03,14.7,-0.00608519,201.771,-35120110.97,-0.106479
2018-09-04,14.93,0.0156463,215.48,30008499.55,0.0838373
2018-09-05,14.63,-0.0200938,211.983,-76177231.95,-0.217947
2018-09-06,15.03,0.0273411,559.916,5193797.65,0.00549478
2018-09-07,14.89,-0.0093147,324.537,-78727201.94,-0.144985
2018-09-10,14.63,-0.0174614,202.311,-46096928.06,-0.138719
2018-09-11,14.69,0.00410116,182.862,-18891545.69,-0.0628482
2018-09-12,14.72,0.00204221,162.03,-26711623.45,-0.0999287
2018-09-13,14.79,0.00475543,237.896,-63205735.33,-0.16143
2018-09-14,14.6,-0.0128465,208.454,-47162251.22,-0.138045
2018-09-17,14.17,-0.0294521,233.49,-38868131.64,-0.104124
2018-09-18,14.31,0.00988003,221.512,25994229.14,0.0737988
2018-09-19,14.42,0.00768693,289.067,17385333.21,0.0374811
2018-09-20,14.27,-0.0104022,191.301,-72531609.01,-0.23682
2018-09-21,14.45,0.0126139,298.346,-13713866.08,-0.0285902
2018-09-25,14.43,-0.00138408,207.237,-30121621.6,-0.0904584
2018-09-26,14.55,0.00831601,333.457,47194763.66,0.0868054
2018-09-27,14.2,-0.024055,305.126,-116627976.5,-0.23866
2018-09-28,14.24,0.0028169,161.098,-39874733.56,-0.155468
2018-10-08,13.72,-0.0365169,255.481,-64833340.46,-0.164228
2018-10-09,13.73,0.000728863,153.891,-19505985.27,-0.0824743
2018-10-10,13.71,-0.00145666,120.972,-3097302.24,-0.0166818
2018-10-11,12.34,-0.0999271,501.518,-124512964.64,-0.175576
2018-10-12,11.96,-0.0307942,407.091,-50202897.6,-0.093315
2018-10-15,11.89,-0.00585284,234.255,-3355428.65,-0.0106019
2018-10-16,11.57,-0.0269134,210.345,-43425232.52,-0.157519
2018-10-17,11.76,0.0164218,210.059,-12692107.79,-0.0461475
2018-10-18,11.38,-0.0323129,203.585,-53122562.26,-0.202878
2018-10-19,11.61,0.0202109,294.894,32919282.89,0.0874231
2018-10-22,12.65,0.089578,637.179,78062156.4,0.0891829
2018-10-23,12.19,-0.0363636,386.515,-48739247.77,-0.0914842
2018-10-24,12.19,0.0,205.557,-27258531.1,-0.096947
2018-10-25,12.0,-0.0155865,227.417,-30932543.91,-0.102974
2018-10-26,12.09,0.0075,215.394,-17003955.13,-0.0580906
2018-10-29,12.07,-0.00165426,192.968,5259326.41,0.0201461
2018-10-30,12.1,0.0024855,222.003,4023806.87,0.01348
2018-10-31,12.25,0.0123967,275.376,4348468.18,0.0115237
2018-11-01,12.35,0.00816326,369.401,-46550803.34,-0.0904659
2018-11-02,12.61,0.0210526,443.702,-16678379.65,-0.0267997
2018-11-05,12.6,-0.000793021,317.981,-41831566.8,-0.0932762
2018-11-06,12.79,0.0150794,348.978,-13461172.08,-0.027521
2018-11-07,12.53,-0.0203284,280.864,-43930646.3,-0.110483
2018-11-08,12.39,-0.0111732,164.449,-54821823.45,-0.238103
2018-11-09,12.34,-0.00403551,124.889,-21584583.17,-0.124766
2018-11-12,12.59,0.0202593,198.377,14784663.4,0.0533138
2018-11-13,12.67,0.00635425,305.069,-2429489.94,-0.00566572
2018-11-14,12.58,-0.00710339,231.28,-58825739.64,-0.179841
2018-11-15,12.89,0.0246423,379.944,24027977.37,0.0441342
2018-11-16,12.86,-0.00232739,315.116,-68051315.78,-0.150151
2018-11-19,13.02,0.0124417,299.477,22340333.42,0.0514467
2018-11-20,12.62,-0.030722,273.487,-105831630.49,-0.27084
2018-11-21,12.52,-0.00792393,172.248,-26139778.48,-0.108561
2018-11-22,12.43,-0.0071885,160.292,-35788635.51,-0.160117
