opendate,trade,changeratio,turnover,netamount,ratioamount
2025-09-26,12.8300,-0.0538348,785.092,-310452371.5900,-0.091356
2025-09-25,13.5800,-0.0251256,616.033,-354768633.7600,-0.127151
2025-09-24,13.9300,0.00287977,789.532,36648740.7200,0.0102445
2025-09-23,13.8900,-0.0387543,1109.28,-488876830.0700,-0.0953062
2025-09-22,14.4500,0.00626741,1604.69,-79646588.8900,-0.0105242
2025-09-19,14.3600,0.0644922,2425.94,3796611711.5800,0.327267
2025-09-18,13.4900,-0.0238784,777.986,-234649275.1100,-0.066558
2025-09-17,13.8200,0.0146843,809.391,381290679.8100,0.103566
2025-09-16,13.6200,0.0318182,792.27,478433821.3500,0.13531
2025-09-15,13.2000,-0.012715,432.695,-147509407.8500,-0.0779377
2025-09-12,13.3700,-0.0190756,713.964,-432294928.6700,-0.13539
2025-09-11,13.6300,0.0598756,1105.82,877909370.4100,0.178258
2025-09-10,12.8600,-0.0264951,485.464,-362916328.7700,-0.174082
2025-09-09,13.2100,-0.00601956,654.586,-5659453.1000,-0.00196056
2025-09-08,13.3000,0.0286156,643.464,247727245.5900,0.0878206
2025-09-05,12.9300,0.0335731,473.325,295335441.3700,0.147623
2025-09-04,12.5100,-0.0324826,587.674,-286416732.7800,-0.115151
2025-09-03,12.9300,0.00544323,610.155,-13564186.1500,-0.00512085
2025-09-02,12.8600,-0.0395818,594.576,-246599339.7700,-0.096763
2025-09-01,13.3900,0.010566,586.003,120158972.2500,0.04628
2025-08-29,13.2400,-0.0192593,493.853,-111037589.2100,-0.0510516
2025-08-28,13.4900,0.0059657,900.406,-93146409.4500,-0.0234739
2025-08-27,13.4100,-0.0407725,1052.14,-547567032.7300,-0.114464
2025-08-26,13.9800,0.0487622,1518.15,780748644.8100,0.111591
2025-08-25,13.3300,0.00984848,1067.43,-98315629.2600,-0.0208311
2025-08-22,13.1900,0.0385827,968.286,628885036.8400,0.151464
2025-08-21,12.7000,-0.0378788,922.646,-777898105.0200,-0.198571
2025-08-20,13.2000,0.0459588,1155.65,699235367.3900,0.140005
2025-08-19,12.6200,0.0251828,960.149,442016786.7000,0.110718
2025-08-18,12.3100,0.0318525,738.106,266364752.6700,0.0886811
2025-08-15,11.9300,0.00167926,417.329,108276712.8500,0.0656128
2025-08-14,11.9100,0.00932203,590.206,153268684.4700,0.0663171
2025-08-13,11.8000,0.00511073,310.1,154604646.3600,0.127501
2025-08-12,11.7400,-0.00339559,228.767,-51057745.3800,-0.0574871
2025-08-11,11.7800,0.0252393,438.436,330233157.2400,0.19394
2025-08-08,11.4900,-0.0162671,229.288,-172785706.7600,-0.197517
2025-08-07,11.6800,0.00429923,365.978,6535780.1100,0.00460909
2025-08-06,11.6300,0.00692641,265.13,122348009.1400,0.120285
2025-08-05,11.5500,-0.00259067,380.206,-13462003.7000,-0.0091649
2025-08-04,11.5800,0.0275067,340.755,283394676.4000,0.220092
2025-08-01,11.2800,0.000887311,166.346,-12472006.6700,-0.0200923
2025-07-31,11.2700,-0.0122699,230.062,-192098995.3800,-0.222376
2025-07-30,11.4100,-0.00954861,165.658,-127987088.9500,-0.204101
2025-07-29,11.5200,-0.0017331,187.895,-72866921.8800,-0.102497
2025-07-28,11.5500,0.00609756,204.174,45223310.0000,0.0579807
2025-07-25,11.4800,0.00087184,176.972,-21300206.9100,-0.0317083
2025-07-24,11.4700,0.0150442,213.702,221939807.0000,0.274754
2025-07-23,11.3000,-0.00877193,190.057,-102800383.6300,-0.143859
2025-07-22,11.3900,-0.00783972,172.288,-117765058.9500,-0.181143
2025-07-21,11.4800,0.0034965,185.943,1736997.4200,0.00246314
2025-07-18,11.4400,-0.00435161,172.382,-144853029.3800,-0.222058
2025-07-17,11.4900,0.0195209,297.943,265918876.3600,0.235636
2025-07-16,11.2700,0.0134892,205.219,124778342.8500,0.163333
2025-07-15,11.1200,-0.0219877,342.229,15420054.4400,0.0122662
2025-07-14,11.3700,-0.00524934,124.922,-93013018.3700,-0.197578
2025-07-11,11.4300,0.00527705,202.403,105806641.8000,0.138494
2025-07-10,11.3700,-0.000878735,161.442,-13369451.8000,-0.0220208
2025-07-09,11.3800,-0.00957354,214.409,-113566705.4300,-0.139664
2025-07-08,11.4900,0.0141218,216.023,151995376.2800,0.185286
2025-07-07,11.3300,-0.00701139,141.348,-21298422.6000,-0.0403054
2025-07-04,11.4100,-0.0129758,196.654,-73381816.3600,-0.0989988
2025-07-03,11.5600,0.00960699,260.404,124057240.9500,0.125064
2025-07-02,11.4500,-0.0263605,363.603,50507034.4900,0.0366251
2025-07-01,11.7600,-0.00759494,187.369,-157047092.5000,-0.216154
2025-06-30,11.8500,0.00169062,197.851,-82726844.3000,-0.107073
2025-06-27,11.8300,0.0111111,391.876,-118295450.7100,-0.0770028
2025-06-26,11.7000,-0.0143218,274.009,-163355076.9000,-0.154643
2025-06-25,11.8700,0.0102128,235.21,186107669.7800,0.20469
2025-06-24,11.7500,0.0226284,195.434,68189453.6600,0.090894
2025-06-23,11.4900,0.00701139,124.656,7992153.9000,0.0170896
2025-06-20,11.4100,-0.00954861,145.37,-17431911.3000,-0.0319838
2025-06-19,11.5100,-0.0270499,226.052,-148517125.8800,-0.172629
2025-06-18,11.8300,0.00169348,150.791,4598060.5800,0.00790826
2025-06-17,11.8100,-0.00169062,131.495,3168007.6800,0.0062223
2025-06-16,11.8200,0.00084674,133.168,8968849.5900,0.0174111
2025-06-13,11.8100,-0.021541,238.279,-154458118.0300,-0.166926
2025-06-12,12.0800,-0.0114566,217.807,-158839513.7000,-0.183038
2025-06-11,12.2100,0.00411184,247.693,29033680.0000,0.0293629
2025-06-10,12.1600,-0.0137875,318.427,-257089215.6000,-0.20351
2025-06-09,12.3300,0.0326633,433.326,342404702.9600,0.19701
2025-06-06,11.9400,-0.0074813,164.376,-92141032.3000,-0.143091
2025-06-05,12.0300,0.00585284,238.54,-37653258.4000,-0.0402539
2025-06-04,11.9600,0.0135593,263.236,96880853.3800,0.0938712
2025-06-03,11.8000,0.00425532,176.863,51076532.9000,0.0749092
2025-05-30,11.7500,-0.0281224,300.745,-187869177.0300,-0.16188
2025-05-29,12.0900,0.0185341,291.408,151069889.2800,0.131351
2025-05-28,11.8700,-0.0318108,381.909,-185495484.3000,-0.12395
2025-05-27,12.2600,-0.00728745,287.811,-46829411.0200,-0.0405933
2025-05-26,12.3500,0.0106383,340.554,128662365.8300,0.0940082
2025-05-23,12.2300,-0.0293651,394.354,-237750623.2000,-0.149019
2025-05-22,12.6000,-0.0194553,525.428,-100827611.7800,-0.0461954
2025-05-21,12.8500,-0.0374532,1085.77,-590171879.0100,-0.128134
2025-05-20,13.3500,0.0996705,1134.81,2039177517.2700,0.430407
2025-05-19,12.1400,0.0176027,359.566,104959594.6000,0.07383
2025-05-16,11.9300,0.0187874,334.652,93139562.0000,0.0715417
2025-05-15,11.7200,-0.0200669,198.692,-118206725.4900,-0.155467
2025-05-14,11.9600,-0.00166945,188.473,-18853473.0000,-0.0257201
2025-05-13,11.9800,-0.0066335,261.855,-195743241.2700,-0.190722
2025-05-12,12.0600,0.0185811,221.64,135454496.8600,0.156329
2025-05-09,11.8400,-0.0166113,201.585,-55675862.6000,-0.071468
2025-05-08,12.0400,0.00500835,279.153,117487161.3200,0.107494
2025-05-07,11.9800,0.00841751,435.903,-6049021.8000,-0.00355148
2025-05-06,11.8800,0.054126,414.431,245175166.5000,0.155055
2025-04-30,11.2700,0.0144014,213.45,52971712.6400,0.067639
2025-04-29,11.1000,0.00634633,203.89,90201579.6200,0.122423
2025-04-28,11.0300,-0.0230292,244.159,-115036872.7200,-0.130753
2025-04-25,11.2900,-0.0250432,359.951,100333426.0300,0.0760399
2025-04-24,11.5800,-0.0293378,286.843,-189089063.7800,-0.173753
2025-04-23,11.9300,0.00336417,230.615,-11683789.2000,-0.0129996
2025-04-22,11.8900,-0.0165426,251.999,-172117887.4000,-0.175804
2025-04-21,12.0900,0.0237087,284.657,150741735.3200,0.135326
2025-04-18,11.8100,-0.0390561,421.299,-240587362.6500,-0.14762
2025-04-17,12.2900,-0.039093,515.656,-207822070.1300,-0.100133
2025-04-16,12.7900,0.045789,1003.98,-118257036.3100,-0.0279319
2025-04-15,0.0000,0,0,0.0000,0
2025-04-14,0.0000,0,0,0.0000,0
2025-04-11,0.0000,0,0,0.0000,0
2025-04-10,0.0000,0,0,0.0000,0
2025-04-09,0.0000,0,0,0.0000,0
2025-04-08,0.0000,0,0,0.0000,0
2025-04-07,0.0000,0,0,0.0000,0
2025-04-03,0.0000,0,0,0.0000,0
2025-04-02,0.0000,0,0,0.0000,0
2025-04-01,0.0000,0,0,0.0000,0
2025-03-31,12.2300,-0.0137097,240.698,-48160671.5200,-0.0505695
2025-03-28,12.4000,-0.0150913,182.115,-123364121.0000,-0.166876
2025-03-27,12.5900,0.0104334,300.37,62067298.8800,0.050528
2025-03-26,12.4600,0.000803213,198.766,13584478.5400,0.0168032
2025-03-25,12.4500,-0.028103,298.629,-163554487.5400,-0.134112
2025-03-24,12.8100,-0.0228833,492.539,-14091595.6500,-0.00688157
2025-03-21,13.1100,-0.0675676,784.43,-169734888.5400,-0.0498834
2025-03-20,14.0600,-0.00636042,441.017,64108254.0200,0.0315446
2025-03-19,14.1500,-0.00979706,343.286,-225914716.2000,-0.143101
2025-03-18,14.2900,-0.0103878,483.746,-349232162.9500,-0.155064
2025-03-17,14.4400,0.0314286,667.788,502145032.2200,0.161829
2025-03-14,14.0000,0.0144928,457.104,30372711.0700,0.0147084
2025-03-13,13.8000,-0.0342897,582.902,-333749788.4800,-0.126612
2025-03-12,14.2900,-0.00970201,666.049,-275285590.0000,-0.0880722
2025-03-11,14.4300,0.00838574,777.768,-58435116.0000,-0.0162209
2025-03-10,14.3100,0.00210084,956.789,84696265.5800,0.018822
2025-03-07,14.2800,0.0273381,1294.64,670520051.8300,0.111038
2025-03-06,13.9000,0.0303929,667.158,219591715.7300,0.0732339
2025-03-05,13.4900,-0.0160467,455.423,-124594044.7800,-0.0621303
2025-03-04,13.7100,-0.0043573,323.165,-58774891.9500,-0.0409037
2025-03-03,13.7700,0.00510949,522.847,-3025968.6300,-0.00130231
2025-02-28,13.7000,-0.0186246,651.89,-19880900.3900,-0.00676455
2025-02-27,13.9600,-0.0298819,821.692,-407721091.3400,-0.108957
2025-02-26,14.3900,-0.00827016,1033.94,-173981836.4500,-0.035872
2025-02-25,14.5100,0.0393983,1735.06,932676231.5000,0.113873
2025-02-24,13.9600,0.0160116,934.522,289216428.6100,0.0692377
2025-02-21,13.7400,-0.00434783,788.584,-169153308.7900,-0.0482237
2025-02-20,13.8000,0.0344828,943.262,483512901.0700,0.11533
2025-02-19,13.3400,0.0325077,554.76,242508939.9100,0.10158
2025-02-18,12.9200,-0.0569343,678.985,-323386405.3600,-0.110572
