opendate,trade,changeratio,turnover,netamount,ratioamount
2025-09-26,72.0700,-0.0353366,254.026,-182787033.2800,-0.0511996
2025-09-25,74.7400,0.00389523,269.026,107325011.9800,0.0277727
2025-09-24,74.4500,-0.0442875,310.589,-394818487.3700,-0.0884646
2025-09-23,77.9000,-0.0269798,418.922,-305812859.4000,-0.0479984
2025-09-22,80.0600,0.054809,318.523,48714826.1000,0.0101006
2025-09-19,75.7900,0.00490586,267.492,-29907886.1700,-0.00766138
2025-09-18,75.4200,0.0637518,455.078,366136455.6100,0.0562906
2025-09-17,70.9000,-0.0152778,248.854,-476158544.0100,-0.14019
2025-09-16,71.8600,0.0423557,335.469,388566831.4700,0.0837569
2025-09-15,68.9400,-0.0411683,312.793,-231840483.6200,-0.0556314
2025-09-12,71.8700,0.0292138,464.936,38511348.9600,0.00603279
2025-09-11,69.8300,0.100032,434.859,1363712680.3700,0.238786
2025-09-10,63.4400,0.0681933,480.12,989597342.8400,0.170787
2025-09-09,59.3900,-0.0162332,283.855,4952521.8200,0.00153125
2025-09-08,60.3700,-0.0587777,433.32,-365466854.9000,-0.0720891
2025-09-05,64.1400,0.0801617,517.516,726969342.1100,0.119299
2025-09-04,59.3800,-0.10003,451.876,-920966555.3500,-0.17277
2025-09-03,65.9800,-0.0184469,349.122,107653848.5100,0.0243131
2025-09-02,67.2200,-0.0369628,505.65,-43203209.4700,-0.00649372
2025-09-01,69.8000,0.0146824,476.716,-21260785.3600,-0.00337517
2025-08-29,68.7900,0.0728322,509.447,12602377.7900,0.00194841
2025-08-28,64.1000,0.08847,520.606,479094403.7000,0.077203
2025-08-27,58.9200,0.0220295,502.038,265378003.4300,0.0455078
2025-08-26,57.6400,-0.00534944,356.925,-94273390.9000,-0.0236289
2025-08-25,57.9500,0.0417041,538.318,182266736.8000,0.0312338
2025-08-22,55.6200,0.0382677,491.667,844624198.2000,0.160864
2025-08-21,53.5700,-0.0197621,414.329,-86934528.7100,-0.0205171
2025-08-20,54.6500,-0.00545951,280.426,-74308013.6900,-0.0256776
2025-08-19,54.9500,-0.0180486,381.035,-112004407.5800,-0.027541
2025-08-18,55.9600,0.0110208,397.865,-191074778.2500,-0.0448028
2025-08-15,55.3500,0.00508444,347.428,-77626777.6200,-0.0209114
2025-08-14,55.0700,-0.0550789,393.686,-466855393.7400,-0.109899
2025-08-13,58.2800,0.100038,571.383,1956429127.5900,0.314193
2025-08-12,52.9800,0.0182587,312.172,-39967148.1800,-0.0126695
2025-08-11,52.0300,0.0185983,271.607,87618962.6400,0.0323194
2025-08-08,51.0800,-0.00273331,217.216,-17856748.7900,-0.00835314
2025-08-07,51.2200,-0.0258653,387.453,-104464155.0800,-0.0272419
2025-08-06,52.5800,0,245.07,-36458993.5400,-0.0146159
2025-08-05,52.5900,-0.0250278,292.968,-252067101.6200,-0.0846838
2025-08-04,53.9400,0.00167131,235.775,-125688104.0700,-0.0518883
2025-08-01,53.8500,-0.0430069,349.655,-302527889.4400,-0.082072
2025-07-31,56.2400,0.0323054,430.388,378286048.6300,0.0805342
2025-07-30,54.4800,-0.0126858,265.864,-219474035.6000,-0.0795435
2025-07-29,55.1700,0.0460751,410.667,404620866.5700,0.0949557
2025-07-28,52.7400,0.0645943,435.39,529218333.9300,0.123196
2025-07-25,49.5400,-0.00301872,162.269,61737401.5300,0.0398418
2025-07-24,49.6800,0.000402739,294.894,181262731.6000,0.0639452
2025-07-23,49.6600,-0.0347911,358.731,165815454.5500,0.048274
2025-07-22,51.4500,-0.00077685,331.273,-218458368.7200,-0.0660675
2025-07-21,51.4900,-0.0117083,323.351,-86827471.5500,-0.0272754
2025-07-18,52.1000,-0.0190171,345.817,122110816.9300,0.0345769
2025-07-17,53.1100,0.085872,460.165,578887281.2100,0.126951
2025-07-16,48.9100,-0.0491835,365.553,-265414876.3500,-0.0748622
2025-07-15,51.4400,0.0714434,510.237,235943048.7100,0.0476589
2025-07-14,48.0100,0.0158697,227.483,112191730.5900,0.0534254
2025-07-11,47.2600,0.00021164,343.795,40785662.1600,0.0129361
2025-07-10,47.2600,-0.0115039,352.164,-148696238.1800,-0.046705
2025-07-09,47.8100,-0.0256776,348.511,-175778313.2500,-0.0543018
2025-07-08,49.0400,0.0707424,458.92,715252215.1600,0.167962
2025-07-07,45.7800,-0.0321353,330.175,-221655003.2000,-0.0755585
2025-07-04,47.3000,0.0650754,526.219,396382078.3600,0.0823532
2025-07-03,44.4100,0.0446954,402.335,221400191.3000,0.065131
2025-07-02,42.5200,-0.0360462,293.201,-163974006.5900,-0.0682161
2025-07-01,44.1100,0.0359324,380.197,395627329.1400,0.123635
2025-06-30,42.6000,-0.0046729,355.605,-135291785.2600,-0.0464113
2025-06-27,42.8000,0.0202622,369.852,250700289.1800,0.0823713
2025-06-26,41.9500,-0.00897708,411.702,211181594.1100,0.0629611
2025-06-25,42.3300,0.00785714,372.969,135047086.3400,0.0443034
2025-06-24,42.0000,-0.0106007,325.998,-174493996.6600,-0.0659931
2025-06-23,42.4500,-0.0175885,425.927,159016449.1000,0.0463026
2025-06-20,43.2100,-0.023944,475.676,-147322816.8500,-0.0374313
2025-06-19,44.2700,-0.00828853,596.797,-236797288.4100,-0.0461114
2025-06-18,44.6400,0.100049,590.282,1770996193.8300,0.360912
2025-06-17,40.7100,0.0106753,374.562,-62231948.2800,-0.0215295
2025-06-16,40.2800,0.0429829,409.641,324629567.1200,0.102792
2025-06-13,38.6100,0.0147175,302.981,-98784353.0800,-0.0437628
2025-06-12,38.0500,0.0359379,433.618,386835467.1000,0.121666
2025-06-11,36.7100,-0.00433957,304.97,-89425315.0300,-0.0412246
2025-06-10,36.8700,0.0126339,482.85,128620044.8900,0.0375989
2025-06-09,36.4100,0.0276602,520.579,315864542.7300,0.0862404
2025-06-06,35.4300,0.0082527,417.658,63694739.1900,0.0224515
2025-06-05,35.1400,0.0587526,674.939,494765961.6000,0.111066
2025-06-04,33.1900,0.068233,611.1,569172235.6900,0.147465
2025-06-03,31.0700,0.0029051,186.423,-13874872.9200,-0.0124243
2025-05-30,31.0000,-0.00736471,228.051,-258783266.5400,-0.192254
2025-05-29,31.2300,0.0389222,343.563,198775492.7000,0.0962198
2025-05-28,30.0600,0.0294521,260.985,190750830.6800,0.127741
2025-05-27,29.2000,-0.0438769,264.354,-161833056.1400,-0.108094
2025-05-26,30.5400,0.00229734,171.484,-147960567.1100,-0.146976
2025-05-23,30.4700,-0.0230843,199.479,-265254806.8200,-0.223896
2025-05-22,31.1900,0.00938511,240.717,107052117.3500,0.0739537
2025-05-21,30.9000,0.00553205,148.934,3226748.7000,0.0036614
2025-05-20,30.7300,0.00754098,150.269,98391506.9200,0.111527
2025-05-19,30.5000,-0.0110246,187.652,5495969.5000,0.00503089
2025-05-16,30.8400,-0.00194175,158.635,20664066.2100,0.0218933
2025-05-15,30.9000,-0.0233881,218.592,-155624224.6800,-0.11894
2025-05-14,31.6400,0.0279402,464.487,212718579.2200,0.0745149
2025-05-13,31.2700,-0.0129419,276.94,-251643408.5100,-0.149966
2025-05-12,31.6800,0.0196331,394.509,53995230.8600,0.0225812
2025-05-09,31.0700,-0.0105096,256.058,-205692216.2400,-0.134232
2025-05-08,31.3900,0.0484302,496.123,243876366.9200,0.082132
2025-05-07,29.9400,-0.002997,277.8,-137793662.5600,-0.0859283
2025-05-06,30.0200,0.0759857,530.068,578087385.0700,0.190546
2025-04-30,27.9000,0.00940666,219.785,8822771.6100,0.00749688
2025-04-29,27.6400,-0.029835,298.708,-192143054.0300,-0.121612
2025-04-28,28.4900,-0.0243151,274.991,-272780537.1400,-0.179856
2025-04-25,29.2000,0.0572049,558.515,425393185.3100,0.135552
2025-04-24,27.6100,-0.0170879,193.221,-114284481.8000,-0.110944
2025-04-23,28.0900,0.0266813,384.202,42465040.6000,0.0204705
2025-04-22,27.3600,-0.0266809,242.626,-286453965.2600,-0.223234
2025-04-21,28.1100,0.0137036,265.827,-34927623.3400,-0.0245898
2025-04-18,27.7300,0.0495836,385.193,228101397.5000,0.113827
2025-04-17,26.4200,-0.00075643,198.8,66397754.6800,0.0653351
2025-04-16,26.4400,-0.0399419,339.293,-42855393.9800,-0.0247511
2025-04-15,27.5400,-0.0150215,215.932,-100125506.7700,-0.0875008
2025-04-14,27.9600,0.0101156,346.855,-362975384.7300,-0.19246
2025-04-11,27.7000,0.0165138,420.383,62246025.1200,0.0281141
2025-04-10,27.2500,0.0724124,548.865,263575986.4800,0.0905154
2025-04-09,25.4100,0.0188452,570.567,378341956.1500,0.138633
2025-04-08,24.9400,-0.0999639,399.944,-257192160.1600,-0.131769
2025-04-07,27.7100,-0.100032,111.365,-523148627.4000,-0.882218
2025-04-03,30.7900,-0.0748197,453.561,-366655119.5500,-0.133153
2025-04-02,33.2700,0.0183655,208.142,140500176.7200,0.10598
2025-04-01,32.6700,-0.00396341,157.818,-138856014.5200,-0.139596
2025-03-31,32.8000,0.00861009,203.202,89939791.5500,0.0704702
2025-03-28,32.5200,-0.0145455,220.105,-28736925.7500,-0.0206738
2025-03-27,33.0000,-0.011976,268.116,17757527.8700,0.0105073
2025-03-26,33.4000,-0.0170689,205.418,-122248765.6300,-0.0923325
2025-03-25,33.9800,-0.0145012,191.681,-170323329.3300,-0.135588
2025-03-24,34.4800,0.010551,205.324,90552604.3000,0.0670075
2025-03-21,34.1300,-0.0135838,203.903,-2372711.9000,-0.00176584
2025-03-20,34.6000,-0.0145258,223.756,-154779805.7000,-0.103866
2025-03-19,35.1100,-0.0433243,469.235,-216714351.6700,-0.0679811
2025-03-18,36.7000,0.022569,452.969,295248048.4100,0.0937686
2025-03-17,35.8800,0.0030752,343.789,-340565603.5600,-0.14452
2025-03-14,35.7700,0.0308357,419.19,266391944.7200,0.0931402
2025-03-13,34.7000,-0.0192199,299.092,-287877953.4400,-0.14319
2025-03-12,35.3800,0.0255072,479.817,23345199.1200,0.00718731
2025-03-11,34.5000,0.0210121,345.846,8980061.4200,0.0039426
2025-03-10,33.7900,0.0128897,217.665,36329485.6400,0.0258561
2025-03-07,33.3600,-0.0350014,344.021,-269425992.5500,-0.121248
2025-03-06,34.5700,0.020366,290.825,204139725.0800,0.106172
2025-03-05,33.8800,0.00803332,296.242,-150885180.0900,-0.0782463
2025-03-04,33.6300,0.0221884,411.071,-74226628.2800,-0.0288675
2025-03-03,32.9000,-0.0618762,652.048,-159719212.3200,-0.0389372
2025-02-28,35.0700,-0.0766193,698.127,3031346.3800,0.000642049
2025-02-27,37.9900,-0.0382278,499.94,-748015240.1200,-0.203659
2025-02-26,39.5000,0.0159465,324.866,70458508.4600,0.028826
2025-02-25,38.8800,-0.0277569,358.034,-231202060.2700,-0.0863948
2025-02-24,39.9900,-0.0588374,414.627,-212263121.9100,-0.0660541
2025-02-21,42.4900,0.00354275,288.697,-88422873.0100,-0.0375885
2025-02-20,42.3200,0.0138955,239.515,-34407153.3700,-0.0178515
2025-02-19,41.7400,0.00119933,231.996,-55340408.7400,-0.030034
2025-02-18,41.6800,0.028374,388.115,62869931.1200,0.0201881
2025-02-17,40.5300,0.0451264,430.534,185552377.6500,0.055779
2025-02-14,38.8000,0.017038,339.249,212676073.7200,0.0836202
2025-02-13,38.1800,-0.0380448,358.573,226626681.3800,0.0857157
2025-02-12,39.6700,0.00202071,237.103,18654586.6800,0.0103938
2025-02-11,39.5900,0.0102067,255.096,28774873.0000,0.0148482
2025-02-10,39.1900,0.00230179,269.145,-101404174.8600,-0.0505281
2025-02-07,39.1000,0.0284061,501.567,-27908937.2100,-0.00742001
2025-02-06,38.0100,0.0152244,539.913,-130560762.1300,-0.0335874
2025-02-05,37.4400,-0.0997836,329.748,-1001662238.3700,-0.419131
2025-01-27,41.6000,-0.0687262,270.603,-249211528.8600,-0.114017
2025-01-24,44.6700,-0.00711269,197.55,94891156.7300,0.0561146
2025-01-23,44.9900,-0.0129443,279.42,-186853560.7900,-0.0769997
2025-01-22,45.5800,0.0862726,451.985,563240476.9100,0.145469
2025-01-21,41.9600,0.0209246,185.258,220899559.6400,0.149219
2025-01-20,41.1000,0.0347432,240.508,146336505.2400,0.0773784
2025-01-17,39.7200,0.0130069,199.827,125924339.2100,0.0827367
2025-01-16,39.2100,0.0137022,246.396,21058935.9700,0.0114107
2025-01-15,38.6800,-0.073311,361.335,-460263223.7700,-0.167925
2025-01-14,41.7400,0.0273197,274.905,76575235.5700,0.0354137
2025-01-13,40.6300,-0.032619,195.443,-53740004.6900,-0.0348622
2025-01-10,42.0000,-0.0212072,224.639,-134007305.0200,-0.0734674
2025-01-09,42.9100,0.0189979,307.085,168707759.9800,0.065832
2025-01-08,42.1000,-0.00449279,213.655,87864358.4100,0.0514
2025-01-07,42.2900,0.0601655,308.256,487321371.8300,0.198973
2025-01-06,39.8900,0.0228205,162.815,110173793.7000,0.0887841
2025-01-03,39.0000,0.00905563,196.378,90241906.3800,0.0611564
2025-01-02,38.6500,-0.0252207,173.543,-56048170.5500,-0.0430551
2024-12-31,39.6500,-0.0277097,284.687,-169848133.8100,-0.0786991
2024-12-30,40.7800,-0.0058508,209.988,-23701439.5400,-0.0143993
2024-12-27,41.0100,-0.0026751,246.337,74034106.3000,0.0380007
2024-12-26,41.1200,0.065285,364.758,605005323.3200,0.213829
2024-12-25,38.6000,-0.0173116,144.973,-113345960.7800,-0.104622
2024-12-24,39.2800,0.0290804,169.45,457909935.6400,0.363076
2024-12-23,38.1700,-0.0230356,170.149,-53525692.8700,-0.0423721
2024-12-20,39.0700,-0.00837563,173.666,25084214.2000,0.0191992
2024-12-19,39.4000,0.012333,215.239,57055432.5400,0.0354632
2024-12-18,38.9200,-0.00485809,247.943,-157826218.9000,-0.0861909
2024-12-17,39.1000,0.0343915,420.951,391551585.2400,0.124495
2024-12-16,37.8000,-0.00263852,277.943,-82303698.9000,-0.0408441
2024-12-13,37.9000,0.0196395,525.583,229653126.2600,0.0601809
2024-12-12,37.1700,0.0103289,224.208,147006109.0400,0.0919013
2024-12-11,36.7900,0.00381992,186.188,140009229.6500,0.106853
2024-12-10,36.6500,-0.0347643,323.564,-24533283.3100,-0.0106475
2024-12-09,37.9700,-0.0145341,116.334,-34241781.5600,-0.0405309
2024-12-06,38.6500,0.00624837,136.784,74146862.6800,0.0730269
2024-12-05,38.4100,0.0242667,189.121,227823139.3600,0.162819
2024-12-04,37.5000,-0.0160063,105.058,-72970666.0100,-0.0962733
2024-12-03,38.1100,0.000262467,122.125,59545316.3200,0.0668541
2024-12-02,38.1000,0.0209003,180.16,-58664710.9000,-0.044375
2024-11-29,37.3200,0.0141304,181.612,74368619.0300,0.0571201
2024-11-28,36.8000,-0.0251656,161.345,-188430481.8700,-0.164382
2024-11-27,37.7500,0.0302948,196.554,173277353.3400,0.123805
2024-11-26,36.6400,0.0292135,178.509,194790452.9600,0.155966
2024-11-25,35.5200,-0.0305677,221.866,62624316.0300,0.0411715
2024-11-22,36.6400,-0.0468262,188.203,-210071929.5400,-0.155019
2024-11-21,38.4400,-0.0120792,170.372,-44660762.5200,-0.0356828
2024-11-20,38.9100,-0.00128337,150.069,-109465598.3200,-0.0974712
2024-11-19,38.9600,0.032053,146.087,119408029.3500,0.111345
2024-11-18,37.7500,-0.031803,195.991,-177949778.2200,-0.123371
2024-11-15,38.9900,-0.0490244,223.396,-168032776.1700,-0.0980791
2024-11-14,41.0000,-0.0350671,221.374,-380892192.2600,-0.216706
2024-11-13,42.4900,0.0396379,423.393,285706873.0300,0.0840657
2024-11-12,40.8700,-0.00752793,270.455,-172832962.4700,-0.081404
2024-11-11,41.1800,0.0215827,359.595,-49450778.1100,-0.0178623
2024-11-08,40.3100,-0.00885173,266.099,12375841.1200,0.00590712
2024-11-07,40.6600,0.00693413,231.853,79281195.6200,0.0444778
2024-11-06,40.3800,-0.0272224,276.253,-271706969.5400,-0.125897
2024-11-05,41.5000,0.0176557,235.177,706366.2400,0.000378544
2024-11-04,40.7800,0.0345003,214.078,226819278.4500,0.136274
2024-11-01,39.4200,-0.0354783,226.475,-242844612.6700,-0.140125
2024-10-31,40.8700,-0.0034138,248.897,-44173299.6800,-0.0228405
2024-10-30,41.0000,-0.00726392,189.394,-12764806.7500,-0.00857144
2024-10-29,41.3000,-0.0164325,349.102,-139230470.6000,-0.0506237
2024-10-28,41.9900,-0.0517164,434.438,-277668364.8900,-0.0790826
2024-10-25,44.2800,0.0460666,372.126,262362003.3000,0.0828785
2024-10-24,42.3700,0.0146073,190.11,167947916.5500,0.109298
2024-10-23,41.7600,-0.0351201,236.117,-312188035.9700,-0.163221
2024-10-22,43.2800,0.0119242,214.19,-25597645.9100,-0.0143863
2024-10-21,42.7700,-0.00834686,312.071,-157990424.9000,-0.0613174
2024-10-18,43.1300,0.0699578,363.073,552988956.2700,0.18683
2024-10-17,40.3100,0.0205063,204.921,184764401.8600,0.116369
2024-10-16,39.5000,-0.0491093,239.061,70977667.4100,0.0389094
2024-10-15,41.5400,-0.0273941,217.553,-53295979.7800,-0.0302764
2024-10-14,42.7100,0.0207935,279.084,-40329492.0700,-0.0181807
2024-10-11,41.8400,0.00119646,271.527,69020026.0000,0.0315525
2024-10-10,41.7900,-0.052381,353.958,-151472620.9700,-0.0528549
2024-10-09,44.1400,-0.000905387,476.398,66254329.2900,0.0167188
2024-10-08,44.1800,0.1001,488.867,285919159.6100,0.0717411
2024-09-30,40.1600,0.0996714,485.703,129606565.6700,0.0364963
2024-09-27,36.5200,0.0470183,377.172,131188153.2800,0.05091
2024-09-26,34.8800,0.0258824,237.545,113970734.8100,0.0728375
2024-09-25,34.0000,-0.0285714,327.487,-224009294.2900,-0.10243
2024-09-24,35.0000,0.0879702,313.474,244307580.5300,0.121296
2024-09-23,32.1700,0.000622084,160.766,-73689392.3500,-0.0735617
2024-09-20,32.1500,-0.000932256,127.113,-92097762.8100,-0.11734
2024-09-19,32.1800,-0.0371035,224.917,-246606965.6800,-0.176944
2024-09-18,33.4200,-0.0161908,143.69,-66467405.7500,-0.0721892
2024-09-13,33.9700,0.066562,372.259,511558571.4200,0.21368
2024-09-12,31.8500,0.026426,235.432,157307597.6100,0.108031
2024-09-11,31.0300,0.00453221,121.891,31543750.3900,0.0434208
2024-09-10,30.8900,0.0296667,169.462,136827024.7600,0.137855
2024-09-09,30.0000,-0.0228013,173.99,-13461236.6600,-0.0134703
2024-09-06,30.7000,-0.0772468,315.462,-388313994.7200,-0.204434
2024-09-05,33.2700,0.0189893,201.39,87404090.5200,0.0680345
