Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,ChangePct,ChangeAmt,Turnover,Code
2023-09-25,2371,171.97,172.71,174.13,170.24,64748,1514587231.5,2.26,0.21,0.37,1.23,2371
2023-09-26,2371,171.6,170.94,173.59,170.93,42611,996712182.51,1.54,-1.02,-1.77,0.81,2371
2023-09-27,2371,170.93,171.19,173.9,169.84,48200,1125318876.45,2.38,0.15,0.25,0.91,2371
2023-09-28,2371,171.23,177.38,182.26,169.53,114314,2728880306.61,7.44,3.62,6.19,2.16,2371
2023-10-09,2371,175.84,181.04,181.99,175.35,71136,1734943017.23,3.74,2.06,3.66,1.35,2371
2023-10-10,2371,180.12,182.23,184.48,179.58,63128,1565761291.71,2.71,0.66,1.19,1.19,2371
2023-10-11,2371,182.23,179.59,182.7,177.76,58026,1421229328.23,2.71,-1.45,-2.64,1.1,2371
2023-10-12,2371,180.64,186.4,187.61,180.21,84218,2106302553.15,4.12,3.79,6.81,1.59,2371
2023-10-13,2371,183.73,182.86,183.77,177.56,76903,1892407612.05,3.33,-1.9,-3.54,1.46,2371
2023-10-16,2371,182.49,178.71,182.71,177.96,43339,1057533722.4,2.6,-2.27,-4.15,0.82,2371
2023-10-17,2371,179.87,181.36,183.34,177.53,48141,1182900987.33,3.25,1.48,2.65,0.91,2371
2023-10-18,2371,182.25,179.55,186.47,179.24,74087,1847441313.71,3.99,-1.0,-1.81,1.4,2371
2023-10-19,2371,178.36,178.73,183.67,178.04,47051,1158473966.82,3.14,-0.46,-0.82,0.89,2371
2023-10-20,2371,176.47,176.22,179.88,175.3,39197,945924691.73,2.56,-1.4,-2.51,0.74,2371
2023-10-23,2371,176.21,172.41,176.79,171.23,35746,841460314.14,3.16,-2.16,-3.81,0.68,2371
2023-10-24,2371,172.86,183.45,185.67,172.72,94578,2327713538.18,7.51,6.4,11.04,1.79,2371
2023-10-25,2371,184.57,182.35,185.01,180.34,55757,1378095535.63,2.55,-0.6,-1.1,1.05,2371
2023-10-26,2371,180.72,183.33,183.82,179.01,53087,1306812373.74,2.64,0.54,0.98,1.0,2371
2023-10-27,2371,181.45,185.15,186.79,180.5,60977,1525967822.93,3.43,0.99,1.82,1.15,2371
2023-10-30,2371,183.82,189.6,191.44,183.16,80636,2063241705.53,4.47,2.4,4.45,1.53,2371
2023-10-31,2371,192.71,188.27,194.68,185.93,70506,1802728401.1,4.61,-0.7,-1.33,1.33,2371
2023-11-01,2371,187.93,185.64,187.98,183.84,51373,1294572591.61,2.2,-1.4,-2.63,0.97,2371
2023-11-02,2371,185.3,183.97,186.76,183.21,35905,899980918.49,1.91,-0.9,-1.67,0.68,2371
2023-11-03,2371,184.24,189.04,189.75,183.61,62017,1578131021.06,3.34,2.76,5.07,1.17,2371
2023-11-06,2371,190.51,190.3,190.86,187.21,64462,1658544233.04,1.93,0.67,1.26,1.22,2371
2023-11-07,2371,189.75,188.53,191.52,187.38,54552,1399940160.22,2.18,-0.93,-1.77,1.03,2371
2023-11-08,2371,187.61,191.21,195.3,187.19,81336,2116302478.2,4.3,1.42,2.68,1.54,2371
2023-11-09,2371,189.87,189.04,192.16,188.53,44243,1142103027.02,1.9,-1.13,-2.17,0.84,2371
2023-11-10,2371,189.82,188.27,190.93,187.53,40807,1050010828.54,1.8,-0.41,-0.77,0.77,2371
2023-11-13,2371,188.78,189.1,190.47,188.0,34233,879567301.7,1.31,0.44,0.83,0.65,2371
2023-11-14,2371,188.13,189.03,190.3,187.58,30134,773932097.3,1.44,-0.04,-0.07,0.57,2371
2023-11-15,2371,189.97,186.64,190.45,186.07,44057,1126524189.31,2.32,-1.26,-2.39,0.83,2371
2023-11-16,2371,185.96,182.34,186.64,181.01,50144,1250253523.77,3.02,-2.3,-4.3,0.95,2371
2023-11-17,2371,181.61,181.6,184.41,180.94,35441,878242952.64,1.9,-0.41,-0.74,0.67,2371
2023-11-20,2371,181.61,178.13,182.02,177.99,55460,1350127656.08,2.22,-1.91,-3.47,1.05,2371
2023-11-21,2371,178.16,176.81,179.57,176.56,43467,1052970860.03,1.69,-0.74,-1.32,0.82,2371
2023-11-22,2371,175.68,173.16,176.6,173.04,46346,1098415750.42,2.01,-2.06,-3.65,0.88,2371
