日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-09-24,159943,1.418,1.423,1.438,1.418,233,393717.0,1.41,0.07,0.001,0.01
2021-09-27,159943,1.426,1.422,1.446,1.419,548,925669.0,1.9,-0.07,-0.001,0.03
2021-09-28,159943,1.422,1.426,1.426,1.414,231,388124.0,0.84,0.28,0.004,0.01
2021-09-29,159943,1.411,1.405,1.413,1.396,365,606649.0,1.19,-1.47,-0.021,0.02
2021-09-30,159943,1.411,1.418,1.427,1.411,243,409476.0,1.14,0.93,0.013,0.01
2021-10-08,159943,1.424,1.43,1.439,1.422,415,700427.0,1.2,0.85,0.012,0.03
2021-10-11,159943,1.43,1.427,1.44,1.422,156,263206.0,1.26,-0.21,-0.003,0.01
2021-10-12,159943,1.411,1.407,1.424,1.396,381,631485.0,1.96,-1.4,-0.02,0.02
2021-10-13,159943,1.409,1.43,1.43,1.407,418,701609.0,1.63,1.63,0.023,0.03
2021-10-14,159943,1.419,1.426,1.434,1.419,174,293560.0,1.05,-0.28,-0.004,0.01
2021-10-15,159943,1.417,1.437,1.437,1.417,439,743998.0,1.4,0.77,0.011,0.03
2021-10-18,159943,1.43,1.422,1.43,1.417,249,417954.0,0.9,-1.04,-0.015,0.02
2021-10-19,159943,1.423,1.442,1.442,1.423,428,726294.0,1.34,1.41,0.02,0.03
2021-10-20,159943,1.444,1.437,1.447,1.434,367,623648.0,0.9,-0.35,-0.005,0.02
2021-10-21,159943,1.434,1.431,1.439,1.426,63,106708.0,0.9,-0.42,-0.006,0.0
2021-10-22,159943,1.431,1.441,1.445,1.431,7461,1074347.0,0.98,0.7,0.01,0.45
2021-10-25,159943,1.441,1.448,1.449,1.419,6852,988203.0,2.08,0.49,0.007,0.42
2021-10-26,159943,1.448,1.446,1.459,1.438,4288,621451.0,1.45,-0.14,-0.002,0.26
2021-10-27,159943,1.433,1.432,1.443,1.423,1276,182900.0,1.38,-0.97,-0.014,0.08
2021-10-28,159943,1.432,1.419,1.432,1.408,6696,949168.0,1.68,-0.91,-0.013,0.41
2021-10-29,159943,1.415,1.436,1.436,1.412,3209,456313.0,1.69,1.2,0.017,0.2
2021-11-01,159943,1.436,1.437,1.445,1.429,949,136331.0,1.11,0.07,0.001,0.06
2021-11-02,159943,1.437,1.425,1.442,1.417,1231,175906.0,1.74,-0.84,-0.012,0.07
2021-11-03,159943,1.425,1.432,1.438,1.42,1567,223635.0,1.26,0.49,0.007,0.1
2021-11-04,159943,1.428,1.443,1.444,1.428,1772,255231.0,1.12,0.77,0.011,0.11
2021-11-05,159943,1.377,1.439,1.45,1.377,1758,253457.0,5.06,-0.28,-0.004,0.11
2021-11-08,159943,1.438,1.443,1.444,1.432,2177,313861.0,0.83,0.28,0.004,0.13
2021-11-09,159943,1.443,1.446,1.447,1.439,5598,808674.0,0.55,0.21,0.003,0.34
2021-11-10,159943,1.446,1.443,1.446,1.421,1957,281069.0,1.73,-0.21,-0.003,0.12
2021-11-11,159943,1.443,1.457,1.457,1.443,4155,603695.0,0.97,0.97,0.014,0.25
2021-11-12,159943,1.458,1.46,1.461,1.45,2310,336347.0,0.75,0.21,0.003,0.14
2021-11-15,159943,1.46,1.455,1.462,1.446,4435,645650.0,1.1,-0.34,-0.005,0.27
2021-11-16,159943,1.452,1.455,1.463,1.451,6466,941481.0,0.82,0.0,0.0,0.39
2021-11-17,159943,1.455,1.463,1.463,1.45,5393,787892.0,0.89,0.55,0.008,0.33
2021-11-18,159943,1.463,1.452,1.463,1.448,2311,335573.0,1.03,-0.75,-0.011,0.14
2021-11-19,159943,1.45,1.466,1.466,1.446,9924,1447230.0,1.38,0.96,0.014,0.6
2021-11-22,159943,1.467,1.482,1.486,1.466,11234,1662834.0,1.36,1.09,0.016,0.68
2021-11-23,159943,1.484,1.478,1.485,1.474,5329,788623.0,0.74,-0.27,-0.004,0.32
2021-11-24,159943,1.481,1.477,1.486,1.474,3619,535876.0,0.81,-0.07,-0.001,0.22
2021-11-25,159943,1.477,1.474,1.477,1.47,2606,384374.0,0.47,-0.2,-0.003,0.16
2021-11-26,159943,1.47,1.47,1.476,1.463,1899,278953.0,0.88,-0.27,-0.004,0.12
2021-11-29,159943,1.47,1.472,1.474,1.42,3538,519163.0,3.67,0.14,0.002,0.22
2021-11-30,159943,1.479,1.467,1.479,1.46,1130,166150.0,1.29,-0.34,-0.005,0.07
2021-12-01,159943,1.467,1.464,1.468,1.461,3247,475433.0,0.48,-0.2,-0.003,0.2
2021-12-02,159943,1.469,1.469,1.475,1.45,4994,730480.0,1.71,0.34,0.005,0.3
2021-12-03,159943,1.469,1.475,1.475,1.461,5023,738522.0,0.95,0.41,0.006,0.31
2021-12-06,159943,1.475,1.467,1.478,1.463,2367,348952.0,1.02,-0.54,-0.008,0.14
2021-12-07,159943,1.463,1.457,1.469,1.448,3285,478857.0,1.43,-0.68,-0.01,0.2
2021-12-08,159943,1.457,1.487,1.487,1.447,12145,1794848.0,2.75,2.06,0.03,0.74
2021-12-09,159943,1.487,1.5,1.5,1.482,9779,1464196.0,1.21,0.87,0.013,0.6
2021-12-10,159943,1.497,1.501,1.502,1.48,3452,515818.0,1.47,0.07,0.001,0.21
2021-12-13,159943,1.51,1.513,1.515,1.502,8066,1218387.0,0.87,0.8,0.012,0.49
2021-12-14,159943,1.512,1.506,1.512,1.502,3850,579085.0,0.66,-0.46,-0.007,0.23
2021-12-15,159943,1.497,1.496,1.508,1.491,2770,415323.0,1.13,-0.66,-0.01,0.17
2021-12-16,159943,1.5,1.5,1.5,1.485,4667,698695.0,1.0,0.27,0.004,0.28
2021-12-17,159943,1.501,1.484,1.501,1.484,5900,879258.0,1.13,-1.07,-0.016,0.36
2021-12-20,159943,1.478,1.456,1.48,1.455,5444,796414.0,1.68,-1.89,-0.028,0.33
2021-12-21,159943,1.465,1.463,1.467,1.451,3706,540847.0,1.1,0.48,0.007,0.23
2021-12-22,159943,1.467,1.472,1.475,1.467,3137,461602.0,0.55,0.62,0.009,0.19
2021-12-23,159943,1.47,1.478,1.479,1.47,2309,340431.0,0.61,0.41,0.006,0.14
2021-12-24,159943,1.478,1.465,1.478,1.458,1430,209854.0,1.35,-0.88,-0.013,0.09
2021-12-27,159943,1.458,1.466,1.475,1.458,1799,263392.0,1.16,0.07,0.001,0.11
2021-12-28,159943,1.46,1.473,1.474,1.46,1432,210454.0,0.95,0.48,0.007,0.09
2021-12-29,159943,1.475,1.464,1.475,1.46,2355,344145.0,1.02,-0.61,-0.009,0.14
2021-12-30,159943,1.463,1.472,1.478,1.463,2354,346139.0,1.02,0.55,0.008,0.14
2021-12-31,159943,1.474,1.478,1.479,1.47,3640,537771.0,0.61,0.41,0.006,0.22
